category,marker,donor_name_e,variable,value,percent
Economic Infrastructure,biodiversity,All DAC members,Aid focused on policy objective,975.8260062122,7.82
Economic Infrastructure,biodiversity,All DAC members,Not targeted,28698.9301323019,26.77
Economic Infrastructure,biodiversity,All DAC members,Not screened,372.182084434,7.61
Economic Infrastructure,climate_adaptation,All DAC members,Aid focused on policy objective,5989.4137337473,18.94
Economic Infrastructure,climate_adaptation,All DAC members,Not targeted,23893.4030801608,26.7
Economic Infrastructure,climate_adaptation,All DAC members,Not screened,164.120800386,4.72
Economic Infrastructure,climate_mitigation,All DAC members,Aid focused on policy objective,18286.7858600881,49.94
Economic Infrastructure,climate_mitigation,All DAC members,Not targeted,11616.5238942717,13.77
Economic Infrastructure,climate_mitigation,All DAC members,Not screened,143.6281742293,4.02
Economic Infrastructure,desertification,All DAC members,Aid focused on policy objective,290.6191390142,7.38
Economic Infrastructure,desertification,All DAC members,Not targeted,25352.2844404941,31.34
Economic Infrastructure,desertification,All DAC members,Not screened,4404.0342447247,11.08
Economic Infrastructure,dig,All DAC members,Aid focused on policy objective,3839.04727123,11.21
Economic Infrastructure,dig,All DAC members,Not targeted,25432.659376797,31.17
Economic Infrastructure,dig,All DAC members,Not screened,775.231558181,8.88
Economic Infrastructure,disability,All DAC members,Aid focused on policy objective,7800.60629024,42.18
Economic Infrastructure,disability,All DAC members,Not targeted,12933.613500498,26.95
Economic Infrastructure,disability,All DAC members,Not screened,9312.717958151,16.03
Economic Infrastructure,drr,All DAC members,Aid focused on policy objective,4034.2277585662,31.35
Economic Infrastructure,drr,All DAC members,Not targeted,20607.1973473559,22.54
Economic Infrastructure,drr,All DAC members,Not screened,5405.5126554849,26.68
Economic Infrastructure,environment,All DAC members,Aid focused on policy objective,19522.2619944748,38.04
Economic Infrastructure,environment,All DAC members,Not targeted,10130.5367821299,14.8
Economic Infrastructure,environment,All DAC members,Not screened,394.1392024913,8.21
Economic Infrastructure,gender,All DAC members,Aid focused on policy objective,15055.6507259702,22.85
Economic Infrastructure,gender,All DAC members,Not targeted,14699.650081293,26.91
