donor_name_e,year,variable,vx,base_year,base,two_year,chart_type,marker
Australia,2012,Principal objective,173.02672,2010,bi annual,2011-2012,USD,environment
Australia,2014,Principal objective,143.10639,2010,bi annual,2013-2014,USD,environment
Australia,2016,Principal objective,75.79217,2010,bi annual,2015-2016,USD,environment
Australia,2018,Principal objective,103.61093,2010,bi annual,2017-2018,USD,environment
Australia,2020,Principal objective,42.43636,2010,bi annual,2019-2020,USD,environment
Australia,2022,Principal objective,64.24214,2010,bi annual,2021-2022,USD,environment
Australia,2024,Principal objective,155.92570,2010,bi annual,2023-2024,USD,environment
Australia,2012,Significant objective,383.0762,2010,bi annual,2011-2012,USD,environment
Australia,2014,Significant objective,356.9712,2010,bi annual,2013-2014,USD,environment
Australia,2016,Significant objective,374.6488,2010,bi annual,2015-2016,USD,environment
Australia,2018,Significant objective,346.3202,2010,bi annual,2017-2018,USD,environment
Australia,2020,Significant objective,933.7839,2010,bi annual,2019-2020,USD,environment
Australia,2022,Significant objective,973.8462,2010,bi annual,2021-2022,USD,environment
Australia,2024,Significant objective,850.6302,2010,bi annual,2023-2024,USD,environment
Austria,2012,Principal objective,29.37731,2010,bi annual,2011-2012,USD,environment
Austria,2014,Principal objective,66.29386,2010,bi annual,2013-2014,USD,environment
Austria,2016,Principal objective,48.64570,2010,bi annual,2015-2016,USD,environment
Austria,2018,Principal objective,44.75040,2010,bi annual,2017-2018,USD,environment
Austria,2020,Principal objective,97.32119,2010,bi annual,2019-2020,USD,environment
Austria,2022,Principal objective,120.01256,2010,bi annual,2021-2022,USD,environment
Austria,2024,Principal objective,83.84054,2010,bi annual,2023-2024,USD,environment
Austria,2012,Significant objective,35.00216,2010,bi annual,2011-2012,USD,environment
Austria,2014,Significant objective,42.47561,2010,bi annual,2013-2014,USD,environment
Austria,2016,Significant objective,54.89489,2010,bi annual,2015-2016,USD,environment
Austria,2018,Significant objective,80.20270,2010,bi annual,2017-2018,USD,environment
Austria,2020,Significant objective,64.59482,2010,bi annual,2019-2020,USD,environment
Austria,2022,Significant objective,97.02397,2010,bi annual,2021-2022,USD,environment
Austria,2024,Significant objective,76.01466,2010,bi annual,2023-2024,USD,environment
Belgium,2012,Principal objective,82.03211,2010,bi annual,2011-2012,USD,environment
Belgium,2014,Principal objective,140.96263,2010,bi annual,2013-2014,USD,environment
Belgium,2016,Principal objective,58.60408,2010,bi annual,2015-2016,USD,environment
Belgium,2018,Principal objective,53.00086,2010,bi annual,2017-2018,USD,environment
Belgium,2020,Principal objective,59.92494,2010,bi annual,2019-2020,USD,environment
Belgium,2022,Principal objective,114.60533,2010,bi annual,2021-2022,USD,environment
Belgium,2024,Principal objective,135.10879,2010,bi annual,2023-2024,USD,environment
Belgium,2012,Significant objective,329.4850,2010,bi annual,2011-2012,USD,environment
Belgium,2014,Significant objective,403.4603,2010,bi annual,2013-2014,USD,environment
Belgium,2016,Significant objective,503.4138,2010,bi annual,2015-2016,USD,environment
Belgium,2018,Significant objective,366.1279,2010,bi annual,2017-2018,USD,environment
Belgium,2020,Significant objective,343.0841,2010,bi annual,2019-2020,USD,environment
Belgium,2022,Significant objective,203.3810,2010,bi annual,2021-2022,USD,environment
Belgium,2024,Significant objective,263.9126,2010,bi annual,2023-2024,USD,environment
Canada,2012,Principal objective,599.6480,2010,bi annual,2011-2012,USD,environment
Canada,2014,Principal objective,296.7569,2010,bi annual,2013-2014,USD,environment
Canada,2016,Principal objective,479.9284,2010,bi annual,2015-2016,USD,environment
Canada,2018,Principal objective,606.0500,2010,bi annual,2017-2018,USD,environment
Canada,2020,Principal objective,483.6619,2010,bi annual,2019-2020,USD,environment
Canada,2022,Principal objective,824.0426,2010,bi annual,2021-2022,USD,environment
Canada,2024,Principal objective,512.2845,2010,bi annual,2023-2024,USD,environment
Canada,2012,Significant objective,617.4852,2010,bi annual,2011-2012,USD,environment
Canada,2014,Significant objective,761.5701,2010,bi annual,2013-2014,USD,environment
Canada,2016,Significant objective,824.4317,2010,bi annual,2015-2016,USD,environment
Canada,2018,Significant objective,548.6791,2010,bi annual,2017-2018,USD,environment
Canada,2020,Significant objective,462.5806,2010,bi annual,2019-2020,USD,environment
Canada,2022,Significant objective,832.3195,2010,bi annual,2021-2022,USD,environment
Canada,2024,Significant objective,212.0774,2010,bi annual,2023-2024,USD,environment
Czechia,2012,Principal objective,6.304834,2010,bi annual,2011-2012,USD,environment
Czechia,2014,Principal objective,5.129162,2010,bi annual,2013-2014,USD,environment
Czechia,2016,Principal objective,4.478733,2010,bi annual,2015-2016,USD,environment
Czechia,2018,Principal objective,5.157308,2010,bi annual,2017-2018,USD,environment
Czechia,2020,Principal objective,4.916026,2010,bi annual,2019-2020,USD,environment
Czechia,2022,Principal objective,4.061474,2010,bi annual,2021-2022,USD,environment
Czechia,2024,Principal objective,4.991430,2010,bi annual,2023-2024,USD,environment
Czechia,2012,Significant objective,1.243145,2010,bi annual,2011-2012,USD,environment
Czechia,2014,Significant objective,5.804733,2010,bi annual,2013-2014,USD,environment
Czechia,2016,Significant objective,6.958465,2010,bi annual,2015-2016,USD,environment
Czechia,2018,Significant objective,8.778650,2010,bi annual,2017-2018,USD,environment
Czechia,2020,Significant objective,15.859284,2010,bi annual,2019-2020,USD,environment
Czechia,2022,Significant objective,10.859169,2010,bi annual,2021-2022,USD,environment
Czechia,2024,Significant objective,10.632047,2010,bi annual,2023-2024,USD,environment
