donor_name_e,recipient_name_e,value,marker
All DAC members,India,3 533.3339839540,environment
Japan,India,2 151.3170526515,environment
All DAC members,Bangladesh,1 975.4671451967,environment
Japan,Bangladesh,1 288.2802400622,environment
Germany,India,1 052.4582979344,environment
All DAC members,Colombia,901.3937452737,environment
All DAC members,Indonesia,728.2129168399,environment
All DAC members,Ethiopia,692.0899402608,environment
All DAC members,Mexico,668.7197970035,environment
All DAC members,Morocco,640.5913288416,environment
All DAC members,Türkiye,640.5784842548,environment
All DAC members,Egypt,636.7829117347,environment
All DAC members,Viet Nam,592.4204677448,environment
France,Morocco,550.8714565335,environment
France,Mexico,465.0618223935,environment
France,Bangladesh,437.6439781230,environment
Japan,Myanmar,428.0057498897,environment
Germany,Jordan,351.0670754017,environment
France,Colombia,347.3136275253,environment
Germany,China (People's Republic of),336.5184080482,environment
France,Indonesia,316.5683708662,environment
Germany,Colombia,302.2360500317,environment
France,Brazil,294.1685821031,environment
France,Côte d'Ivoire,285.8088442767,environment
France,Egypt,282.9627136613,environment
Germany,Peru,263.7232404260,environment
France,Türkiye,259.2050091081,environment
France,Philippines,241.2208221876,environment
Australia,Papua New Guinea,238.3186956490,environment
United States,Ethiopia,197.0571066570,environment
Japan,Türkiye,160.1633263031,environment
Korea,Egypt,142.3660694734,environment
EU Institutions,Mozambique,141.1340683334,environment
Germany,Tunisia,140.0320021864,environment
Germany,Afghanistan,136.9866250704,environment
Germany,Serbia,134.3160658578,environment
Germany,Lebanon,133.8709995549,environment
Germany,Ethiopia,131.3824976559,environment
Korea,Cambodia,125.1101221197,environment
United Kingdom,Ethiopia,122.1401871999,environment
EU Institutions,Türkiye,118.6296448156,environment
EU Institutions,Serbia,116.8418613126,environment
Australia,Indonesia,108.7217364224,environment
EU Institutions,Ukraine,108.2810300453,environment
EU Institutions,Tanzania,103.6686202328,environment
Japan,Brazil,101.5864491159,environment
Japan,Egypt,91.4893741386,environment
EU Institutions,Viet Nam,90.0601864828,environment
United States,Yemen,86.6163932974,environment
United States,South Sudan,84.9269262924,environment
EU Institutions,Democratic Republic of the Congo,84.8701931307,environment
United States,Nigeria,83.7001078302,environment
EU Institutions,North Macedonia,78.3175835910,environment
Korea,India,78.1275882768,environment
Japan,Uzbekistan,76.5646906035,environment
United States,Philippines,74.9552274584,environment
Norway,Brazil,74.2951431464,environment
EU Institutions,Haiti,74.2515993743,environment
Canada,Afghanistan,74.0904975293,environment
EU Institutions,Mali,72.4404717195,environment
Korea,Ghana,70.0569499580,environment
United Kingdom,Somalia,66.7953529370,environment
Japan,Paraguay,65.5092426726,environment
United Kingdom,South Africa,63.6074544810,environment
United States,Democratic Republic of the Congo,63.1234947619,environment
United Kingdom,Nepal,61.9618214557,environment
Japan,Viet Nam,61.8477052207,environment
United States,Colombia,59.6204861493,environment
United States,Tanzania,59.5331269611,environment
United States,Viet Nam,59.3165889829,environment
United States,Guatemala,58.9756133273,environment
United Kingdom,Colombia,58.5064891322,environment
Australia,Vanuatu,57.0955718717,environment
Belgium,Democratic Republic of the Congo,55.0211608339,environment
Canada,Mali,52.0463540376,environment
Korea,Indonesia,50.2785964927,environment
United Kingdom,Pakistan,49.0790786448,environment
Korea,Colombia,49.0528287631,environment
Australia,Solomon Islands,48.2456013735,environment
Sweden,Somalia,46.0454494545,environment
Korea,Dominican Republic,45.4009071897,environment
Norway,Indonesia,45.3750774912,environment
United Kingdom,Bangladesh,39.3421937634,environment
Korea,Philippines,38.8369486781,environment
Japan,Mexico,38.2293099451,environment
Canada,South Sudan,36.4296729928,environment
Norway,Colombia,36.2065129294,environment
Australia,Fiji,35.0635768625,environment
Canada,Ghana,34.2207245626,environment
Korea,Viet Nam,34.0994704853,environment
Denmark,Kenya,33.3791307562,environment
Sweden,Tanzania,32.8380175868,environment
Austria,Serbia,32.0486786397,environment
Korea,Myanmar,31.1337033062,environment
United Kingdom,Saint Helena,30.8520637679,environment
Switzerland,Niger,29.4644370187,environment
United Kingdom,India,28.7318372339,environment
Canada,Bangladesh,27.8986829854,environment
Denmark,Burkina Faso,27.4155768713,environment
Belgium,Uganda,27.0172469322,environment
Australia,Cambodia,25.5592649042,environment
Norway,Mozambique,25.5041716329,environment
Australia,Viet Nam,24.2903637978,environment
Canada,Senegal,24.1541001202,environment
Italy,Mozambique,24.0065928314,environment
Australia,Bangladesh,23.3726222330,environment
Switzerland,Lao People's Democratic Republic,23.0067230739,environment
Canada,Tanzania,22.9763311452,environment
Canada,Kenya,22.6984055424,environment
Norway,Ethiopia,22.3656340268,environment
Switzerland,Nepal,22.0260718137,environment
Canada,Democratic Republic of the Congo,21.6834822485,environment
Sweden,Mali,21.4917670050,environment
New Zealand,Solomon Islands,21.2036626886,environment
Canada,Burkina Faso,21.1795061418,environment
Italy,Afghanistan,21.1103217915,environment
Sweden,Mozambique,21.0940915316,environment
United Kingdom,Ghana,20.0397790268,environment
Australia,Timor-Leste,20.0009070931,environment
Sweden,Bolivia,19.6274169115,environment
Switzerland,Albania,18.9813339146,environment
Switzerland,Benin,18.6707697262,environment
Belgium,Burundi,18.3514353119,environment
Sweden,Syrian Arab Republic,16.9295966888,environment
Italy,West Bank and Gaza Strip,16.4907757952,environment
Australia,Philippines,16.3175911510,environment
Norway,Peru,15.3385960019,environment
Switzerland,Bosnia and Herzegovina,15.2646808953,environment
Switzerland,Chad,15.0780983428,environment
Italy,Senegal,14.7805529538,environment
Norway,Somalia,14.6868823553,environment
Italy,Ethiopia,14.5868376612,environment
Ireland,Malawi,14.4680685913,environment
Italy,Somalia,14.3356003051,environment
Ireland,Ethiopia,14.1821322589,environment
Italy,Pakistan,14.0725344200,environment
Belgium,Burkina Faso,14.0517074327,environment
Switzerland,Peru,13.9632830931,environment
Switzerland,Viet Nam,13.9282251642,environment
Switzerland,Burkina Faso,13.8839100333,environment
Italy,Libya,13.6947650115,environment
Netherlands,Ethiopia,13.2178024828,environment
Italy,Lebanon,13.2151722075,environment
Sweden,Colombia,12.5843503604,environment
Sweden,Guatemala,12.4458296213,environment
New Zealand,Kiribati,12.2515925521,environment
Sweden,Ukraine,12.1664808314,environment
Belgium,Mali,11.5459187831,environment
Belgium,Mozambique,11.2366792937,environment
Norway,Tanzania,10.9037817561,environment
Luxembourg,Senegal,10.8492486261,environment
Sweden,Democratic Republic of the Congo,10.8435404362,environment
Italy,Tunisia,10.7164496291,environment
Spain,Bolivia,10.3319271554,environment
New Zealand,Papua New Guinea,10.2857048196,environment
Spain,Guatemala,10.2589564247,environment
Norway,Malawi,10.2267740610,environment
Belgium,West Bank and Gaza Strip,10.0298242855,environment
Denmark,Ukraine,9.9050333897,environment
Netherlands,Rwanda,9.6816827708,environment
Denmark,Mali,9.5556997149,environment
Spain,Peru,8.5835092938,environment
Norway,China (People's Republic of),8.4953625345,environment
Spain,El Salvador,8.2982357285,environment
Spain,Senegal,8.1560318860,environment
Belgium,Kenya,8.0751384225,environment
New Zealand,Timor-Leste,8.0743333436,environment
Spain,Colombia,8.0633281873,environment
New Zealand,Vanuatu,8.0307552125,environment
Belgium,Senegal,8.0208243364,environment
Luxembourg,Niger,7.7621266311,environment
Austria,Mozambique,7.2957005877,environment
Belgium,Ecuador,6.9701982066,environment
New Zealand,Myanmar,6.9044632445,environment
Luxembourg,Lao People's Democratic Republic,6.8498689520,environment
Austria,Uganda,6.7431782931,environment
Spain,Ecuador,6.6932127233,environment
Luxembourg,Burkina Faso,6.1650041439,environment
Spain,Honduras,6.1406486478,environment
Finland,Thailand,6.0786422092,environment
Spain,Nicaragua,6.0266871569,environment
Spain,Mozambique,6.0077817113,environment
Denmark,Ethiopia,5.9504531925,environment
Denmark,Bangladesh,5.7673501050,environment
New Zealand,Fiji,5.7270065399,environment
Iceland,Uganda,5.6610018374,environment
Finland,Ethiopia,5.5414317712,environment
Ireland,Tanzania,5.4535070066,environment
Austria,Türkiye,5.4220189868,environment
Austria,Moldova,5.2606304142,environment
Denmark,Niger,5.1932240440,environment
Denmark,Tanzania,5.1671522498,environment
Iceland,Malawi,5.1638064209,environment
New Zealand,Tuvalu,4.9317012552,environment
Ireland,Mozambique,4.9312575536,environment
Luxembourg,Mali,4.9155501697,environment
Denmark,Lebanon,4.7696789998,environment
Austria,Ethiopia,4.5270615112,environment
Luxembourg,Cabo Verde,4.3138552725,environment
Netherlands,West Bank and Gaza Strip,4.3084572381,environment
Czechia,Ethiopia,4.2857810868,environment
Ireland,Uganda,3.9239364415,environment
Finland,Nepal,3.8956193615,environment
Ireland,Viet Nam,3.8430197432,environment
New Zealand,Samoa,3.8004253155,environment
Austria,Armenia,3.6566506313,environment
Finland,Tanzania,3.3969571115,environment
Ireland,Sudan,3.3965945990,environment
Austria,Mongolia,3.3869887430,environment
Austria,Lao People's Democratic Republic,3.3769676074,environment
Ireland,Kenya,3.3691700911,environment
Austria,India,3.2327219680,environment
Denmark,Indonesia,3.2024599032,environment
Ireland,Sierra Leone,3.1534895373,environment
Ireland,South Sudan,3.0818015539,environment
Czechia,Moldova,3.0069955539,environment
New Zealand,Viet Nam,2.9660970403,environment
Portugal,Cabo Verde,2.9645499289,environment
Czechia,Bosnia and Herzegovina,2.7866332473,environment
Finland,India,2.6532180354,environment
