variable,marker,name_marker,lower_case_name_marker
gender,gender,Aid in Support of Gender Equality and Women's Empowerment,gender equality
environment,environment,Aid to environment,environment
dig,dig,Aid in Support of Democratic and inclusive governance (DIG),DIG
rmnch,rmnch,"Aid in Support of Reproductive, Maternal, Newborn and Child Health (RMNCH)",RMNCH
drr,drr,Aid targeting the objectives of the Sendai Framework for Disaster Risk Reduction (DRR),DRR
nutrition,nutrition,Aid in Support of Nutrition,nutrition
disability,disability,Aid in Support of Inclusion and Empowerment of Persons with Disabilities,disabilities
biodiversity,biodiversity,Aid targeting the objectives of the Convention on Biological Diversity,biodiversity
climate_adaptation,climate_adaptation,Aid targeting the objectives of the Framework Convention on Climate Change - Climate change adaptation,climate change adaptation
climate_mitigation,climate_mitigation,Aid targeting the objectives of the Framework Convention on Climate Change - Climate change mitigation,climate change mitigation
desertification,desertification,Aid targeting the objectives of the Convention to Combat Desertification,desertification
