donor_name_e,Principal objective,Significant objective,Sub-Total: focused aid,as % of screened aid,Not targeted,Total: aid screened,Not screened,"Memo: bilateral allocable, total",marker
Australia,155.93,850.63,1 006.56,41.7%,1 407.59,2 414.14,,2 414.14,environment
Austria,83.84,76.01,159.86,35.2%,294.71,454.56,0.15,454.71,environment
Belgium,135.11,263.91,399.02,59.7%,269.16,668.18,263.76,931.95,environment
Canada,512.28,212.08,724.36,18.1%,3 286.58,4 010.94,11.09,4 022.03,environment
Czechia,4.99,10.63,15.62,22.1%,55.02,70.64,1.71,72.35,environment
Denmark,191.95,428.8,620.74,38.3%,998.11,1 618.85,182.25,1 801.11,environment
EU Institutions,2 969.92,5 396.64,8 366.56,38.1%,13 596.74,21 963.31,,21 963.31,environment
Estonia,1.84,0.28,2.12,9.6%,20.06,22.18,2.06,24.24,environment
Finland,14,112.14,126.15,27.4%,333.88,460.03,28.5,488.52,environment
France,2 659.38,1 369.72,4 029.1,49.9%,4 045.86,8 074.96,1 093.36,9 168.32,environment
Germany,2 671.17,6 534.82,9 205.98,50%,9 209.48,18 415.46,1 190.5,19 605.96,environment
Greece,0.15,,0.15,1.9%,7.74,7.89,,7.89,environment
Hungary,13.46,4.47,17.94,47.5%,19.8,37.74,133.52,171.26,environment
Iceland,10.8,24.74,35.54,50.4%,35.04,70.58,,70.58,environment
Ireland,110.34,110.54,220.88,37.2%,373.63,594.51,50.41,644.92,environment
Italy,321.01,373.67,694.67,51.4%,656.32,1 351,224.22,1 575.22,environment
Japan,805.92,9 557.08,10 363,54.2%,8 773.74,19 136.74,799.16,19 935.9,environment
Korea,1 143.26,2 239.23,3 382.49,64.6%,1 857.44,5 239.93,38.54,5 278.47,environment
Latvia,0.06,0.1,0.16,3.6%,4.44,4.6,18.05,22.65,environment
Lithuania,2.82,2.93,5.75,11%,46.59,52.34,26.48,78.82,environment
Luxembourg,15,80.81,95.82,24.4%,296.45,392.26,0,392.26,environment
Netherlands,185.69,387.43,573.12,16.9%,2 811.24,3 384.36,0,3 384.36,environment
New Zealand,140.66,115.14,255.79,51.5%,240.55,496.35,0,496.35,environment
Norway,566.46,563.34,1 129.8,32.6%,2 333.22,3 463.03,,3 463.03,environment
Poland,9.25,9.23,18.49,12.7%,127.57,146.06,75.15,221.21,environment
Portugal,7.46,10.91,18.37,11%,148.09,166.46,1.15,167.62,environment
Romania,0.12,0.03,0.16,0.3%,48.51,48.66,50.95,99.61,environment
Slovak Republic,0.64,5.17,5.81,19%,24.74,30.54,0.09,30.63,environment
Slovenia,4.29,3.5,7.78,28.8%,19.28,27.06,3.05,30.11,environment
Spain,167.01,204.17,371.19,31.8%,797.72,1 168.91,6.13,1 175.04,environment
Sweden,232.42,347.55,579.97,34.2%,1 114.26,1 694.23,74.57,1 768.8,environment
Switzerland,118.11,399.94,518.05,22.7%,1 761.55,2 279.6,,2 279.6,environment
United Kingdom,1 513.45,1 352.5,2 865.95,48.9%,2 990.52,5 856.47,1 343.84,7 200.31,environment
United States,2 108.78,5 185.22,7 294.01,16%,38 189.02,45 483.03,0,45 483.03,environment
All DAC members,16 877.59,36 233.38,53 110.98,35.6%,96 194.65,149 305.6,5 618.7,154 924.3,environment
Australia,189.22,1 307.43,1 496.65,62%,917.49,2 414.14,,2 414.14,gender
Austria,30.89,207.23,238.12,52.4%,216.38,454.51,0.21,454.71,gender
Belgium,52.1,518.27,570.37,81.1%,132.77,703.14,228.81,931.95,gender
Canada,312.22,1 627.86,1 940.08,48.3%,2 078.69,4 018.77,3.27,4 022.03,gender
Czechia,2.37,25.06,27.42,38.7%,43.36,70.78,1.57,72.35,gender
Denmark,126.38,750.2,876.58,53.8%,752.95,1 629.54,171.57,1 801.11,gender
EU Institutions,501.52,12 796.88,13 298.4,60.5%,8 664.9,21 963.31,,21 963.31,gender
Estonia,0.72,0.23,0.94,4.2%,21.26,22.2,2.04,24.24,gender
Finland,14.63,275.9,290.53,67.2%,141.58,432.11,56.42,488.52,gender
France,533.78,3 977.95,4 511.73,53%,4 002.42,8 514.15,654.17,9 168.32,gender
Germany,1 093.54,12 417.24,13 510.77,73%,4 988.08,18 498.86,1 107.11,19 605.96,gender
Hungary,0.58,0.5,1.08,3.4%,30.58,31.66,139.6,171.26,gender
Iceland,10.98,41.65,52.63,74.6%,17.96,70.58,,70.58,gender
Ireland,72.05,363.3,435.35,72.8%,162.57,597.92,47.01,644.92,gender
Italy,53.22,496.35,549.56,40.6%,805.7,1 355.26,219.96,1 575.22,gender
Japan,212.87,10 039.32,10 252.19,55.7%,8 144,18 396.2,1 539.71,19 935.9,gender
Korea,173,1 135.91,1 308.91,25.1%,3 910.14,5 219.05,59.42,5 278.47,gender
Latvia,0.65,0.28,0.93,4.1%,21.72,22.65,,22.65,gender
Lithuania,0.32,1.9,2.23,4.2%,50.65,52.88,25.94,78.82,gender
Luxembourg,25.88,117.32,143.2,36.5%,249.06,392.26,0,392.26,gender
Netherlands,807.81,1 953.91,2 761.73,81.6%,622.64,3 384.36,0,3 384.36,gender
New Zealand,24.1,319.99,344.09,69.3%,152.26,496.35,0,496.35,gender
Norway,250.85,1 626.5,1 877.35,54.2%,1 585.68,3 463.03,,3 463.03,gender
Poland,3.74,10.9,14.64,10.6%,123.67,138.31,82.9,221.21,gender
Portugal,2.96,55.13,58.09,34.9%,108.37,166.46,1.15,167.62,gender
Romania,0.06,0.03,0.09,0.2%,48.45,48.54,51.08,99.61,gender
Slovak Republic,0.17,3.5,3.67,12%,26.95,30.62,0.01,30.63,gender
Slovenia,3.07,2.57,5.63,20.9%,21.36,27,3.12,30.11,gender
Spain,242.19,374.59,616.78,52.8%,552.13,1 168.91,6.13,1 175.04,gender
Sweden,191.25,723.85,915.1,53.7%,789.45,1 704.55,64.25,1 768.8,gender
Switzerland,73.92,1 434.14,1 508.06,66.2%,771.54,2 279.6,,2 279.6,gender
United Kingdom,588.91,4 417.44,5 006.35,75.6%,1 619.25,6 625.6,574.71,7 200.31,gender
United States,760.82,8 932.76,9 693.58,21.3%,35 789.45,45 483.03,0,45 483.03,gender
All DAC members,6 356.76,65 956.08,72 312.83,48.2%,77 563.47,149 876.3,5 040.13,154 916.4,gender
Australia,35.42,105.03,140.46,5.8%,2 273.68,2 414.14,,2 414.14,rmnch
Austria,4.18,41.49,45.66,10.1%,407.85,453.51,1.21,454.71,rmnch
Belgium,44.13,139.96,184.09,32.2%,387.73,571.82,360.13,931.95,rmnch
Canada,118.81,148.33,267.14,6.9%,3 615.68,3 882.82,139.21,4 022.03,rmnch
Czechia,2.45,3.99,6.44,9.1%,64.38,70.82,1.53,72.35,rmnch
Denmark,16.39,29.01,45.4,2.8%,1 560.71,1 606.11,194.99,1 801.11,rmnch
EU Institutions,679.98,1 577.17,2 257.15,10.3%,19 706.16,21 963.31,,21 963.31,rmnch
Estonia,0.1,0.06,0.16,0.6%,24.03,24.19,0.06,24.24,rmnch
Finland,21.6,9.77,31.37,7.4%,393.77,425.14,63.38,488.52,rmnch
France,98.35,120.64,218.99,10.7%,1 822.69,2 041.68,7 126.64,9 168.32,rmnch
Germany,320.26,1 552.02,1 872.28,10.9%,15 285.83,17 158.11,2 447.86,19 605.96,rmnch
Iceland,1.75,6.72,8.47,12%,61.87,70.33,0.25,70.58,rmnch
Ireland,41.16,110.61,151.78,25.6%,441.75,593.53,51.4,644.92,rmnch
Italy,38.84,100.55,139.39,11.7%,1 050.96,1 190.35,384.88,1 575.22,rmnch
Japan,208.34,318.91,527.25,2.8%,18 603.07,19 130.32,805.59,19 935.9,rmnch
Korea,118.92,238.91,357.83,6.9%,4 860.21,5 218.03,60.43,5 278.47,rmnch
Lithuania,0.58,9.14,9.72,17.4%,46.11,55.83,22.99,78.82,rmnch
Luxembourg,25.93,9.4,35.33,9%,356.93,392.26,0,392.26,rmnch
Netherlands,601.87,336.61,938.49,27.7%,2 445.88,3 384.36,0,3 384.36,rmnch
New Zealand,12.42,57.56,69.97,14.1%,426.37,496.35,0,496.35,rmnch
Norway,132.8,172.33,305.13,8.8%,3 157.89,3 463.03,,3 463.03,rmnch
Poland,4,10.13,14.14,9.6%,132.49,146.62,74.59,221.21,rmnch
Portugal,2.66,14.8,17.46,10.5%,148.91,166.36,1.25,167.62,rmnch
Romania,0.01,0.07,0.08,0.2%,48.45,48.53,51.09,99.61,rmnch
Slovak Republic,0.01,0.59,0.6,2%,29.94,30.54,0.09,30.63,rmnch
Slovenia,0.13,1.21,1.34,6.3%,20.02,21.36,8.75,30.11,rmnch
Spain,51.93,129.52,181.45,15.5%,987.46,1 168.91,6.13,1 175.04,rmnch
Sweden,155.74,130.84,286.58,17%,1 400.59,1 687.17,81.63,1 768.8,rmnch
Switzerland,6.62,103.49,110.11,4.8%,2 169.49,2 279.6,,2 279.6,rmnch
United Kingdom,211.47,476.88,688.35,11.5%,5 280.01,5 968.36,1 231.95,7 200.31,rmnch
United States,2 012.82,1 287.9,3 300.72,7.3%,42 182.31,45 483.03,0,45 483.03,rmnch
All DAC members,4 969.67,7 243.65,12 213.32,8.6%,129 393.2,141 606.5,13 116.01,154 722.5,rmnch
Australia,20.59,61.33,81.92,3.4%,2 332.23,2 414.14,,2 414.14,biodiversity
Austria,11.66,43.89,55.55,12.2%,399.01,454.56,0.15,454.71,biodiversity
Belgium,34.48,139.07,173.54,26.9%,471.99,645.53,286.41,931.95,biodiversity
Canada,127.83,146.23,274.06,6.8%,3 736.27,4 010.33,11.7,4 022.03,biodiversity
Czechia,1.18,2.38,3.56,5%,68.04,71.6,0.74,72.35,biodiversity
Denmark,10.71,149.1,159.82,9.9%,1 448.67,1 608.49,192.62,1 801.11,biodiversity
EU Institutions,588.42,1 711.17,2 299.59,10.5%,19 663.72,21 963.31,,21 963.31,biodiversity
Estonia,0.94,0.11,1.05,11.1%,8.42,9.47,14.78,24.24,biodiversity
Finland,0.04,39.04,39.08,8.1%,445.39,484.47,4.05,488.52,biodiversity
France,276.08,1 871.11,2 147.19,26.1%,6 092.3,8 239.49,928.84,9 168.32,biodiversity
Germany,921.28,1 578.61,2 499.89,13.8%,15 650.24,18 150.13,1 455.84,19 605.96,biodiversity
Greece,0.09,,0.09,1.2%,7.79,7.89,,7.89,biodiversity
Hungary,1.21,5.24,6.45,18%,29.34,35.79,135.47,171.26,biodiversity
Iceland,0.55,9.53,10.08,14.3%,60.5,70.58,,70.58,biodiversity
Ireland,17.22,48.58,65.79,11.1%,526.47,592.27,52.66,644.92,biodiversity
Italy,74.91,99.45,174.36,13.4%,1 127.49,1 301.86,273.36,1 575.22,biodiversity
Japan,145.27,170.48,315.75,1.7%,18 139.08,18 454.83,1 481.07,19 935.9,biodiversity
Korea,16.23,265.63,281.87,5.4%,4 936.67,5 218.54,59.93,5 278.47,biodiversity
Luxembourg,0.59,14.98,15.57,4%,376.7,392.26,0,392.26,biodiversity
Netherlands,50.12,405.73,455.85,13.5%,2 928.51,3 384.36,0,3 384.36,biodiversity
New Zealand,38.39,72.62,111.01,22.4%,385.34,496.35,0,496.35,biodiversity
Norway,412.76,185.68,598.44,17.3%,2 864.59,3 463.03,,3 463.03,biodiversity
Poland,0.47,1.27,1.74,1.2%,144.55,146.29,74.92,221.21,biodiversity
Portugal,2.51,3.64,6.15,3.7%,160.32,166.46,1.15,167.62,biodiversity
Romania,0.08,,0.08,0.2%,48.53,48.6,51.01,99.61,biodiversity
Slovak Republic,0.52,0.42,0.94,3.1%,29.68,30.62,0.01,30.63,biodiversity
Slovenia,0.22,1.45,1.67,6.4%,24.51,26.18,3.94,30.11,biodiversity
Spain,62.76,172.37,235.13,20.1%,933.72,1 168.85,6.19,1 175.04,biodiversity
Sweden,75.26,136.14,211.4,12.5%,1 473.73,1 685.13,83.67,1 768.8,biodiversity
Switzerland,16.4,114.58,130.98,5.7%,2 148.62,2 279.6,,2 279.6,biodiversity
United Kingdom,236.78,741.82,978.6,15%,5 524.56,6 503.17,697.15,7 200.31,biodiversity
United States,773.23,684.71,1 457.94,3.2%,44 025.09,45 483.03,0,45 483.03,biodiversity
All DAC members,3 918.77,8 876.35,12 795.12,8.6%,136 212.1,149 007.2,5 815.66,154 822.9,biodiversity
Australia,59.65,568.73,628.37,26%,1 785.77,2 414.14,,2 414.14,climate_mitigation
Austria,30.48,44.23,74.71,16.4%,379.85,454.56,0.15,454.71,climate_mitigation
Belgium,48.05,196.26,244.32,36.7%,420.84,665.16,266.79,931.95,climate_mitigation
Canada,136.69,87.79,224.48,5.6%,3 794.04,4 018.52,3.51,4 022.03,climate_mitigation
Czechia,2.59,4.84,7.43,10.4%,64.18,71.61,0.73,72.35,climate_mitigation
Denmark,120.43,286.38,406.82,25.3%,1 202.11,1 608.93,192.17,1 801.11,climate_mitigation
EU Institutions,1 406.65,4 554.34,5 960.99,27.1%,16 002.32,21 963.31,,21 963.31,climate_mitigation
