donor_name_e,variable,2023,2024,marker
All DAC members,Principal objective,3975.43653782599,3862.11112612849,biodiversity
All DAC members,Significant objective,7943.54984719963,9809.55924890185,biodiversity
All DAC members,Total of aid focused on policy objective,11918.9863850256,13671.6703750303,biodiversity
All DAC members,Not targeted,145244.816199441,127317.839304724,biodiversity
All DAC members,Not screened,4365.53739064124,7329.80247233632,biodiversity
All DAC members,Total bilateral allocable aid,161529.339975108,148319.31215209,biodiversity
All DAC members,as % of screened aid,7.58,9.7,biodiversity
All DAC members,Total bilateral non-allocable aid,71163.38836159,65362.7980630976,biodiversity
All DAC members,Principal objective,7849.69767030053,8581.90413793423,climate_adaptation
All DAC members,Significant objective,26353.1563531858,23699.1378169448,climate_adaptation
All DAC members,Total of aid focused on policy objective,34202.8540234864,32281.041954879,climate_adaptation
All DAC members,Not targeted,123841.749080561,111100.898776915,climate_adaptation
All DAC members,Not screened,3484.73687106075,4937.37142029588,climate_adaptation
All DAC members,Total bilateral allocable aid,161529.339975108,148319.31215209,climate_adaptation
All DAC members,as % of screened aid,21.64,22.51,climate_adaptation
All DAC members,Total bilateral non-allocable aid,71163.38836159,65362.7980630976,climate_adaptation
All DAC members,Principal objective,25498.6007168521,12697.5752937539,climate_mitigation
All DAC members,Significant objective,15074.849024347,21196.4194602902,climate_mitigation
All DAC members,Total of aid focused on policy objective,40573.4497411992,33893.9947540442,climate_mitigation
All DAC members,Not targeted,117519.386319462,109232.231904467,climate_mitigation
All DAC members,Not screened,3436.50391444685,5193.08549357867,climate_mitigation
All DAC members,Total bilateral allocable aid,161529.339975108,148319.31215209,climate_mitigation
All DAC members,as % of screened aid,25.66,23.68,climate_mitigation
All DAC members,Total bilateral non-allocable aid,71163.38836159,65362.7980630976,climate_mitigation
All DAC members,Principal objective,562.114508064457,307.182495347053,desertification
All DAC members,Significant objective,3419.88231151483,4151.2112845536,desertification
All DAC members,Total of aid focused on policy objective,3981.99681957928,4458.39377990065,desertification
All DAC members,Not targeted,101733.1931436,89342.4536514637,desertification
All DAC members,Not screened,55814.1500119288,54518.4647207258,desertification
All DAC members,Total bilateral allocable aid,161529.339975108,148319.31215209,desertification
All DAC members,as % of screened aid,3.77,4.75,desertification
All DAC members,Total bilateral non-allocable aid,71163.38836159,65362.7980630976,desertification
All DAC members,Principal objective,18092.5008947677,18158.0225120489,dig
All DAC members,Significant objective,19388.4658257791,15653.9715908285,dig
All DAC members,Total of aid focused on policy objective,37480.9667205468,33811.9941028775,dig
All DAC members,Not targeted,112786.191851528,104524.372204112,dig
All DAC members,Not screened,11262.1814030327,9982.94584510099,dig
All DAC members,Total bilateral allocable aid,161529.339975108,148319.31215209,dig
All DAC members,as % of screened aid,24.94,24.44,dig
All DAC members,Total bilateral non-allocable aid,71163.38836159,65362.7980630976,dig
All DAC members,Principal objective,274.612044011144,962.963607474395,disability
All DAC members,Significant objective,21706.1204807584,19866.8869573651,disability
All DAC members,Total of aid focused on policy objective,21980.7325247696,20829.8505648395,disability
All DAC members,Not targeted,57144.150964298,58840.9130887611,disability
All DAC members,Not screened,82404.4564860401,68648.5484984897,disability
All DAC members,Total bilateral allocable aid,161529.339975108,148319.31215209,disability
All DAC members,as % of screened aid,27.78,26.14,disability
