donor_name_e,recipient_name_e,Total bilateral allocable aid,Aid focused on policy objective - volume,Aid focused on policy objective* - share,marker
All DAC members,India,5 524.271055817,3 533.3339839540,69.8%,environment
Japan,India,2 800.661518148,2 151.3170526515,77.1%,environment
All DAC members,Bangladesh,4 144.525429164,1 975.4671451967,47.9%,environment
Japan,Bangladesh,2 315.517223178,1 288.2802400622,55.7%,environment
Germany,India,1 512.381616350,1 052.4582979344,69.6%,environment
All DAC members,Colombia,2 344.194693091,901.3937452737,39.1%,environment
All DAC members,Indonesia,2 905.716498469,728.2129168399,25.3%,environment
All DAC members,Ethiopia,3 101.671404709,692.0899402608,22.9%,environment
All DAC members,Mexico,1 148.281687022,668.7197970035,63.1%,environment
All DAC members,Morocco,2 119.364390470,640.5913288416,35.1%,environment
All DAC members,Türkiye,2 757.751690496,640.5784842548,28.6%,environment
All DAC members,Egypt,2 706.048869998,636.7829117347,54.4%,environment
All DAC members,Viet Nam,1 267.864185035,592.4204677448,50.3%,environment
France,Morocco,613.215879980,550.8714565335,91.2%,environment
France,Mexico,474.995058187,465.0618223935,98.9%,environment
France,Bangladesh,454.549469202,437.6439781230,97.1%,environment
Japan,Myanmar,838.778167303,428.0057498897,51.7%,environment
Germany,Jordan,784.612020085,351.0670754017,44.7%,environment
France,Colombia,383.641793273,347.3136275253,97.5%,environment
Germany,China (People's Republic of),492.909720369,336.5184080482,68.3%,environment
France,Indonesia,350.017313937,316.5683708662,91.1%,environment
Germany,Colombia,701.504840110,302.2360500317,43.1%,environment
France,Brazil,445.057980454,294.1685821031,73%,environment
France,Côte d'Ivoire,556.547995037,285.8088442767,71.5%,environment
France,Egypt,352.908973285,282.9627136613,80.8%,environment
Germany,Peru,591.256248926,263.7232404260,44.6%,environment
France,Türkiye,327.097538257,259.2050091081,91.1%,environment
France,Philippines,325.241249177,241.2208221876,74.5%,environment
Australia,Papua New Guinea,526.964825111,238.3186956490,46%,environment
United States,Ethiopia,1 482.185107015,197.0571066570,13.3%,environment
Japan,Türkiye,291.106080580,160.1633263031,55.1%,environment
Korea,Egypt,149.194672980,142.3660694734,95.8%,environment
EU Institutions,Mozambique,215.933663665,141.1340683334,65.4%,environment
Germany,Tunisia,550.623745186,140.0320021864,25.5%,environment
Germany,Afghanistan,617.311537559,136.9866250704,22.2%,environment
Germany,Serbia,162.437219708,134.3160658578,82.9%,environment
Germany,Lebanon,415.523144915,133.8709995549,32.2%,environment
Germany,Ethiopia,492.706811101,131.3824976559,26.7%,environment
Korea,Cambodia,215.489694738,125.1101221197,61.8%,environment
United Kingdom,Ethiopia,222.365964599,122.1401871999,57.3%,environment
EU Institutions,Türkiye,1 553.523081528,118.6296448156,10.6%,environment
EU Institutions,Serbia,401.395707753,116.8418613126,51.2%,environment
Australia,Indonesia,275.957283073,108.7217364224,39.8%,environment
EU Institutions,Ukraine,848.573775382,108.2810300453,38.3%,environment
EU Institutions,Tanzania,197.432328664,103.6686202328,52.5%,environment
Japan,Brazil,176.621673102,101.5864491159,61.8%,environment
Japan,Egypt,131.195025524,91.4893741386,71%,environment
EU Institutions,Viet Nam,144.603679705,90.0601864828,88.8%,environment
United States,Yemen,1 062.878982832,86.6163932974,8.1%,environment
United States,South Sudan,942.648240820,84.9269262924,9%,environment
EU Institutions,Democratic Republic of the Congo,198.884761028,84.8701931307,42.7%,environment
United States,Nigeria,1 183.494328812,83.7001078302,7.1%,environment
EU Institutions,North Macedonia,188.322904621,78.3175835910,67%,environment
Korea,India,84.684062799,78.1275882768,92.4%,environment
Japan,Uzbekistan,86.934753434,76.5646906035,90.8%,environment
United States,Philippines,199.566371993,74.9552274584,37.6%,environment
Norway,Brazil,74.431911493,74.2951431464,99.8%,environment
EU Institutions,Haiti,86.251167883,74.2515993743,86.1%,environment
Canada,Afghanistan,135.153671469,74.0904975293,54.8%,environment
EU Institutions,Mali,203.422970754,72.4404717195,35.6%,environment
Korea,Ghana,114.288730947,70.0569499580,61.4%,environment
United Kingdom,Somalia,119.302402361,66.7953529370,56.7%,environment
Japan,Paraguay,70.957708014,65.5092426726,95.3%,environment
United Kingdom,South Africa,82.553255124,63.6074544810,86.4%,environment
United States,Democratic Republic of the Congo,1 046.318708871,63.1234947619,6%,environment
United Kingdom,Nepal,81.448497661,61.9618214557,79.7%,environment
Japan,Viet Nam,303.158820301,61.8477052207,21%,environment
United States,Colombia,840.900763295,59.6204861493,7.1%,environment
United States,Tanzania,641.101910203,59.5331269611,9.3%,environment
United States,Viet Nam,190.819406066,59.3165889829,31.1%,environment
United States,Guatemala,250.749092794,58.9756133273,23.5%,environment
United Kingdom,Colombia,70.217327572,58.5064891322,89.6%,environment
Australia,Vanuatu,78.107468575,57.0955718717,73.2%,environment
Belgium,Democratic Republic of the Congo,146.334460715,55.0211608339,43.4%,environment
Canada,Mali,132.346719239,52.0463540376,39.3%,environment
Korea,Indonesia,205.216315663,50.2785964927,25.6%,environment
United Kingdom,Pakistan,86.164706389,49.0790786448,65.7%,environment
Korea,Colombia,70.377265415,49.0528287631,74.3%,environment
Australia,Solomon Islands,126.815791536,48.2456013735,39.8%,environment
Sweden,Somalia,85.133006021,46.0454494545,54.1%,environment
Korea,Dominican Republic,51.368930243,45.4009071897,89%,environment
Norway,Indonesia,47.241403863,45.3750774912,96%,environment
United Kingdom,Bangladesh,48.663333962,39.3421937634,86.1%,environment
Korea,Philippines,170.572242299,38.8369486781,23%,environment
Japan,Mexico,63.522777034,38.2293099451,61.3%,environment
Canada,South Sudan,97.054783641,36.4296729928,37.5%,environment
Norway,Colombia,76.479501142,36.2065129294,47.3%,environment
Australia,Fiji,92.846851747,35.0635768625,39.5%,environment
Canada,Ghana,57.121173772,34.2207245626,59.9%,environment
Korea,Viet Nam,98.680623506,34.0994704853,41.7%,environment
Denmark,Kenya,155.470420298,33.3791307562,49.1%,environment
Sweden,Tanzania,79.723423498,32.8380175868,41.2%,environment
Austria,Serbia,33.023464078,32.0486786397,97%,environment
Korea,Myanmar,73.001621591,31.1337033062,46.8%,environment
United Kingdom,Saint Helena,36.079413250,30.8520637679,86.9%,environment
Switzerland,Niger,40.715871240,29.4644370187,72.4%,environment
United Kingdom,India,55.231101702,28.7318372339,67.9%,environment
Canada,Bangladesh,88.727524415,27.8986829854,31.4%,environment
Denmark,Burkina Faso,52.319568983,27.4155768713,65.6%,environment
Belgium,Uganda,45.803992293,27.0172469322,80.9%,environment
Australia,Cambodia,63.544810815,25.5592649042,40.2%,environment
Norway,Mozambique,66.675901219,25.5041716329,38.3%,environment
Australia,Viet Nam,71.746991746,24.2903637978,34.2%,environment
Canada,Senegal,70.109848502,24.1541001202,34.5%,environment
Italy,Mozambique,32.598964493,24.0065928314,80.3%,environment
Australia,Bangladesh,95.121788574,23.3726222330,25.5%,environment
Switzerland,Lao People's Democratic Republic,32.974127038,23.0067230739,69.8%,environment
Canada,Tanzania,65.010950685,22.9763311452,35.3%,environment
Canada,Kenya,50.789258372,22.6984055424,44.7%,environment
Norway,Ethiopia,81.353609482,22.3656340268,27.5%,environment
Switzerland,Nepal,63.038312059,22.0260718137,34.9%,environment
Canada,Democratic Republic of the Congo,76.653331303,21.6834822485,28.3%,environment
Sweden,Mali,45.257812867,21.4917670050,47.5%,environment
New Zealand,Solomon Islands,33.977799656,21.2036626886,62.4%,environment
Canada,Burkina Faso,59.605682763,21.1795061418,35.5%,environment
Italy,Afghanistan,65.430995393,21.1103217915,49.7%,environment
Sweden,Mozambique,29.628440796,21.0940915316,71.2%,environment
United Kingdom,Ghana,36.229879831,20.0397790268,77.4%,environment
Australia,Timor-Leste,93.019251049,20.0009070931,22.7%,environment
Sweden,Bolivia,34.018068946,19.6274169115,57.7%,environment
Switzerland,Albania,32.136569496,18.9813339146,59.1%,environment
Switzerland,Benin,50.282884539,18.6707697262,37.1%,environment
Belgium,Burundi,44.728890515,18.3514353119,42.1%,environment
Sweden,Syrian Arab Republic,61.423426381,16.9295966888,29.6%,environment
Italy,West Bank and Gaza Strip,30.513183675,16.4907757952,65.6%,environment
Australia,Philippines,62.091883954,16.3175911510,26.5%,environment
Norway,Peru,15.338596002,15.3385960019,100%,environment
Switzerland,Bosnia and Herzegovina,23.622014849,15.2646808953,64.6%,environment
Switzerland,Chad,29.278282071,15.0780983428,51.5%,environment
Italy,Senegal,21.348556415,14.7805529538,73%,environment
Norway,Somalia,71.398914427,14.6868823553,20.6%,environment
Italy,Ethiopia,41.569823629,14.5868376612,41.4%,environment
Ireland,Malawi,23.696932316,14.4680685913,62.9%,environment
Italy,Somalia,28.427988172,14.3356003051,52.4%,environment
Ireland,Ethiopia,48.985585843,14.1821322589,29.4%,environment
Italy,Pakistan,17.147553456,14.0725344200,86.7%,environment
Belgium,Burkina Faso,35.197356156,14.0517074327,53.9%,environment
Switzerland,Peru,25.478892326,13.9632830931,54.8%,environment
Switzerland,Viet Nam,26.554721423,13.9282251642,52.5%,environment
Switzerland,Burkina Faso,26.350513447,13.8839100333,52.7%,environment
Italy,Libya,37.473533779,13.6947650115,39.1%,environment
Netherlands,Ethiopia,102.114896491,13.2178024828,12.9%,environment
Italy,Lebanon,28.577902595,13.2151722075,48.6%,environment
Sweden,Colombia,26.828540561,12.5843503604,47.1%,environment
Sweden,Guatemala,18.064551064,12.4458296213,68.9%,environment
New Zealand,Kiribati,32.179441356,12.2515925521,38.1%,environment
Sweden,Ukraine,37.408228051,12.1664808314,36.5%,environment
Belgium,Mali,18.755469607,11.5459187831,67.3%,environment
Belgium,Mozambique,22.361621830,11.2366792937,70.4%,environment
Norway,Tanzania,56.023330776,10.9037817561,19.5%,environment
Luxembourg,Senegal,20.272033325,10.8492486261,76.9%,environment
Sweden,Democratic Republic of the Congo,75.990468974,10.8435404362,14.3%,environment
Italy,Tunisia,38.696500856,10.7164496291,36.4%,environment
Spain,Bolivia,31.820279442,10.3319271554,32.5%,environment
New Zealand,Papua New Guinea,26.900699180,10.2857048196,38.2%,environment
Spain,Guatemala,31.832018350,10.2589564247,32.2%,environment
Norway,Malawi,97.899391589,10.2267740610,10.4%,environment
Belgium,West Bank and Gaza Strip,68.372029094,10.0298242855,40.7%,environment
Denmark,Ukraine,32.729141950,9.9050333897,52.6%,environment
Netherlands,Rwanda,12.562419949,9.6816827708,77.1%,environment
Denmark,Mali,47.924992995,9.5556997149,39.1%,environment
Spain,Peru,32.289308457,8.5835092938,26.6%,environment
Norway,China (People's Republic of),10.413927320,8.4953625345,81.6%,environment
Spain,El Salvador,27.738040928,8.2982357285,29.9%,environment
Spain,Senegal,21.717833255,8.1560318860,37.6%,environment
Belgium,Kenya,24.345518279,8.0751384225,88.9%,environment
New Zealand,Timor-Leste,25.939808145,8.0743333436,31.1%,environment
Spain,Colombia,68.430005459,8.0633281873,11.8%,environment
New Zealand,Vanuatu,24.188926346,8.0307552125,33.2%,environment
Belgium,Senegal,14.792018487,8.0208243364,62.8%,environment
Luxembourg,Niger,36.122772748,7.7621266311,41.9%,environment
Austria,Mozambique,19.800555874,7.2957005877,36.8%,environment
Belgium,Ecuador,8.272537705,6.9701982066,96.2%,environment
New Zealand,Myanmar,19.718337239,6.9044632445,35%,environment
Luxembourg,Lao People's Democratic Republic,21.741248217,6.8498689520,67%,environment
Austria,Uganda,21.106602680,6.7431782931,31.9%,environment
Spain,Ecuador,30.452044232,6.6932127233,22%,environment
Luxembourg,Burkina Faso,32.516912572,6.1650041439,33.9%,environment
Spain,Honduras,15.948485794,6.1406486478,38.5%,environment
Finland,Thailand,6.142817301,6.0786422092,99%,environment
Spain,Nicaragua,22.588880098,6.0266871569,26.7%,environment
Spain,Mozambique,13.022386234,6.0077817113,46.1%,environment
Denmark,Ethiopia,71.099214568,5.9504531925,14.8%,environment
Denmark,Bangladesh,14.930159428,5.7673501050,58.5%,environment
New Zealand,Fiji,26.689654635,5.7270065399,21.5%,environment
Iceland,Uganda,8.003875080,5.6610018374,70.7%,environment
Finland,Ethiopia,22.712308041,5.5414317712,24.4%,environment
Ireland,Tanzania,29.014340818,5.4535070066,21.6%,environment
Austria,Türkiye,16.577736710,5.4220189868,32.7%,environment
Austria,Moldova,7.157894385,5.2606304142,73.5%,environment
Denmark,Niger,15.542446703,5.1932240440,52.9%,environment
Denmark,Tanzania,23.955437810,5.1671522498,30.9%,environment
Iceland,Malawi,8.459254335,5.1638064209,61%,environment
New Zealand,Tuvalu,6.290363337,4.9317012552,78.4%,environment
Ireland,Mozambique,31.701183435,4.9312575536,16.8%,environment
Luxembourg,Mali,23.296808343,4.9155501697,44.1%,environment
Denmark,Lebanon,34.068262938,4.7696789998,25%,environment
Austria,Ethiopia,14.213033705,4.5270615112,31.9%,environment
Luxembourg,Cabo Verde,18.483761711,4.3138552725,41%,environment
Netherlands,West Bank and Gaza Strip,29.869222179,4.3084572381,14.4%,environment
Czechia,Ethiopia,6.309327846,4.2857810868,67.9%,environment
Ireland,Uganda,28.196006578,3.9239364415,21.9%,environment
Finland,Nepal,18.224202248,3.8956193615,21.4%,environment
Ireland,Viet Nam,6.577572274,3.8430197432,61.8%,environment
New Zealand,Samoa,20.905759166,3.8004253155,18.2%,environment
Austria,Armenia,4.368896400,3.6566506313,83.7%,environment
Finland,Tanzania,16.407012905,3.3969571115,20.7%,environment
Ireland,Sudan,7.341774730,3.3965945990,46.3%,environment
Austria,Mongolia,5.612111330,3.3869887430,60.4%,environment
Austria,Lao People's Democratic Republic,3.376967607,3.3769676074,100%,environment
Ireland,Kenya,10.688876318,3.3691700911,34.7%,environment
Austria,India,5.049681402,3.2327219680,64%,environment
Denmark,Indonesia,7.532215754,3.2024599032,95.8%,environment
Ireland,Sierra Leone,18.527889080,3.1534895373,17.3%,environment
Ireland,South Sudan,11.661875798,3.0818015539,26.9%,environment
Czechia,Moldova,6.914374477,3.0069955539,43.5%,environment
New Zealand,Viet Nam,5.525036665,2.9660970403,53.7%,environment
Portugal,Cabo Verde,13.497359388,2.9645499289,22%,environment
Czechia,Bosnia and Herzegovina,6.514652615,2.7866332473,42.8%,environment
Finland,India,4.108242437,2.6532180354,64.6%,environment
Netherlands,Egypt,19.311321146,2.4193318452,12.5%,environment
Poland,Albania,2.204401245,2.1289415234,96.6%,environment
Portugal,Mozambique,25.150844272,1.9225985060,7.6%,environment
Finland,Uzbekistan,1.855388637,1.8553886374,100%,environment
Luxembourg,Bangladesh,5.039747242,1.6402194980,39.3%,environment
Portugal,Sao Tome and Principe,14.349611976,1.6351584852,11.4%,environment
Czechia,Georgia,4.899314034,1.5119530156,30.9%,environment
Luxembourg,Myanmar,5.794722992,1.4313433295,50.9%,environment
Finland,Ukraine,9.430862094,1.3023585973,14.6%,environment
Finland,Zambia,2.592832015,1.2624108375,48.7%,environment
Finland,Kyrgyzstan,1.076569719,1.0765697186,100%,environment
Finland,Tajikistan,1.142842162,1.0585849930,92.6%,environment
Poland,Lebanon,3.471109026,1.0122820017,29.2%,environment
Iceland,Sierra Leone,2.455502738,0.9763021453,39.8%,environment
Poland,Ukraine,42.467120016,0.9659881632,2.3%,environment
Poland,Kenya,3.412010489,0.9311308464,27.3%,environment
Lithuania,Georgia,1.509772803,0.9014358529,78.5%,environment
Lithuania,Ukraine,3.373781477,0.7633690229,41.8%,environment
Czechia,Zambia,4.004995772,0.7197953456,18%,environment
Portugal,Angola,11.457571952,0.7158493899,6.2%,environment
Netherlands,Indonesia,4.689447609,0.6420404914,13.7%,environment
Luxembourg,Democratic Republic of the Congo,3.966494754,0.6336408450,23.9%,environment
Slovak Republic,Kenya,1.845683898,0.6161422109,33.4%,environment
