donor_name_e,variable,2023-2024,comment,policy_markers_names,marker,donor_name_text
All DAC members,gender,96.75,"",Gender equality,gender,the DAC member average
All DAC members,environment,96.37,"",Environment,environment,the DAC member average
All DAC members,dig,93.14,"",DIG,dig,the DAC member average
All DAC members,rmnch,91.48,"",RMNCH,rmnch,the DAC member average
All DAC members,drr,85.87,"",DRR,drr,the DAC member average
All DAC members,nutrition,73.28,"",Nutrition,nutrition,the DAC member average
All DAC members,disability,51.25,"",Disability,disability,the DAC member average
All DAC members,biodiversity,96.23,"",Biodiversity,biodiversity,the DAC member average
All DAC members,climate_adaptation,97.28,"",Climate adaptation,climate_adaptation,the DAC member average
All DAC members,climate_mitigation,97.21,"",Climate mitigation,climate_mitigation,the DAC member average
All DAC members,desertification,64.39,"",Desertification,desertification,the DAC member average
Austria,gender,99.95,"",Gender equality,gender,Austria
Belgium,gender,75.45,"",Gender equality,gender,Belgium
Denmark,gender,90.47,"",Gender equality,gender,Denmark
France,gender,92.86,"",Gender equality,gender,France
Germany,gender,94.35,"",Gender equality,gender,Germany
Italy,gender,86.04,"",Gender equality,gender,Italy
Netherlands,gender,100,"",Gender equality,gender,the Netherlands
Norway,gender,100,"",Gender equality,gender,Norway
Portugal,gender,99.31,"",Gender equality,gender,Portugal
Sweden,gender,96.37,"",Gender equality,gender,Sweden
Switzerland,gender,100,"",Gender equality,gender,Switzerland
United Kingdom,gender,92.02,"",Gender equality,gender,the United Kingdom
Finland,gender,88.45,"",Gender equality,gender,Finland
Iceland,gender,100,"",Gender equality,gender,Iceland
Ireland,gender,92.71,"",Gender equality,gender,Ireland
Luxembourg,gender,100,"",Gender equality,gender,Luxembourg
Greece,gender,100,"",Gender equality,gender,Greece
Spain,gender,99.48,"",Gender equality,gender,Spain
Slovenia,gender,89.65,"",Gender equality,gender,Slovenia
Czechia,gender,97.83,"",Gender equality,gender,Czechia
Slovak Republic,gender,99.97,"",Gender equality,gender,the Slovak Republic
Hungary,gender,18.49,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Gender equality,gender,Hungary
Poland,gender,62.53,"",Gender equality,gender,Poland
Romania,gender,48.73,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Gender equality,gender,Romania
Estonia,gender,91.58,"",Gender equality,gender,Estonia
Latvia,gender,100,"",Gender equality,gender,Latvia
Lithuania,gender,67.09,"",Gender equality,gender,Lithuania
Canada,gender,99.92,"",Gender equality,gender,Canada
United States,gender,100,"",Gender equality,gender,the United States
Japan,gender,92.28,"",Gender equality,gender,Japan
Korea,gender,98.87,"",Gender equality,gender,Korea
Australia,gender,100,"",Gender equality,gender,Australia
New Zealand,gender,100,"",Gender equality,gender,New Zealand
EU Institutions,gender,100,"",Gender equality,gender,the EU Institutions
Austria,environment,99.97,"",Environment,environment,Austria
Belgium,environment,71.7,"",Environment,environment,Belgium
Denmark,environment,89.88,"",Environment,environment,Denmark
France,environment,88.07,"",Environment,environment,France
Germany,environment,93.93,"",Environment,environment,Germany
Italy,environment,85.76,"",Environment,environment,Italy
Netherlands,environment,100,"",Environment,environment,the Netherlands
Norway,environment,100,"",Environment,environment,Norway
Portugal,environment,99.31,"",Environment,environment,Portugal
Sweden,environment,95.78,"",Environment,environment,Sweden
Switzerland,environment,100,"",Environment,environment,Switzerland
United Kingdom,environment,81.3,"",Environment,environment,the United Kingdom
Finland,environment,94.17,"",Environment,environment,Finland
Iceland,environment,100,"",Environment,environment,Iceland
Ireland,environment,92.18,"",Environment,environment,Ireland
Luxembourg,environment,100,"",Environment,environment,Luxembourg
Greece,environment,100,"",Environment,environment,Greece
Spain,environment,99.48,"",Environment,environment,Spain
Slovenia,environment,89.86,"",Environment,environment,Slovenia
Czechia,environment,97.64,"",Environment,environment,Czechia
Slovak Republic,environment,99.71,"",Environment,environment,the Slovak Republic
Hungary,environment,22.03,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Environment,environment,Hungary
Poland,environment,66.03,"",Environment,environment,Poland
Romania,environment,48.85,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Environment,environment,Romania
Estonia,environment,91.49,"",Environment,environment,Estonia
Latvia,environment,20.18,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Environment,environment,Latvia
Lithuania,environment,66.41,"",Environment,environment,Lithuania
Canada,environment,99.72,"",Environment,environment,Canada
United States,environment,100,"",Environment,environment,the United States
Japan,environment,95.99,"",Environment,environment,Japan
Korea,environment,99.27,"",Environment,environment,Korea
Australia,environment,100,"",Environment,environment,Australia
New Zealand,environment,100,"",Environment,environment,New Zealand
EU Institutions,environment,100,"",Environment,environment,the EU Institutions
Austria,dig,99.97,"",DIG,dig,Austria
Belgium,dig,35.95,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,DIG,dig,Belgium
Denmark,dig,91.68,"",DIG,dig,Denmark
France,dig,87.06,"",DIG,dig,France
Germany,dig,90.64,"",DIG,dig,Germany
Italy,dig,86.51,"",DIG,dig,Italy
Netherlands,dig,100,"",DIG,dig,the Netherlands
Norway,dig,100,"",DIG,dig,Norway
Portugal,dig,99.31,"",DIG,dig,Portugal
Sweden,dig,95.97,"",DIG,dig,Sweden
Switzerland,dig,100,"",DIG,dig,Switzerland
United Kingdom,dig,38.61,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,DIG,dig,the United Kingdom
Finland,dig,87.38,"",DIG,dig,Finland
Iceland,dig,99.65,"",DIG,dig,Iceland
Ireland,dig,92.63,"",DIG,dig,Ireland
Luxembourg,dig,100,"",DIG,dig,Luxembourg
Greece,dig,100,"",DIG,dig,Greece
Spain,dig,99.48,"",DIG,dig,Spain
Slovenia,dig,93.42,"",DIG,dig,Slovenia
Czechia,dig,97.74,"",DIG,dig,Czechia
Slovak Republic,dig,99.97,"",DIG,dig,the Slovak Republic
Hungary,dig,57.49,"",DIG,dig,Hungary
Poland,dig,67.16,"",DIG,dig,Poland
Romania,dig,48.72,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,DIG,dig,Romania
Estonia,dig,92.66,"",DIG,dig,Estonia
Latvia,dig,20.18,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,DIG,dig,Latvia
Lithuania,dig,88.28,"",DIG,dig,Lithuania
Canada,dig,98.26,"",DIG,dig,Canada
United States,dig,100,"",DIG,dig,the United States
Japan,dig,91.6,"",DIG,dig,Japan
Korea,dig,98.87,"",DIG,dig,Korea
Australia,dig,100,"",DIG,dig,Australia
New Zealand,dig,100,"",DIG,dig,New Zealand
EU Institutions,dig,100,"",DIG,dig,the EU Institutions
Austria,rmnch,99.73,"",RMNCH,rmnch,Austria
Belgium,rmnch,61.36,"",RMNCH,rmnch,Belgium
Denmark,rmnch,89.17,"",RMNCH,rmnch,Denmark
France,rmnch,22.27,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,RMNCH,rmnch,France
Germany,rmnch,87.51,"",RMNCH,rmnch,Germany
Italy,rmnch,75.57,"",RMNCH,rmnch,Italy
Netherlands,rmnch,100,"",RMNCH,rmnch,the Netherlands
Norway,rmnch,100,"",RMNCH,rmnch,Norway
Portugal,rmnch,99.25,"",RMNCH,rmnch,Portugal
Sweden,rmnch,95.39,"",RMNCH,rmnch,Sweden
Switzerland,rmnch,100,"",RMNCH,rmnch,Switzerland
United Kingdom,rmnch,82.89,"",RMNCH,rmnch,the United Kingdom
Finland,rmnch,87.03,"",RMNCH,rmnch,Finland
Iceland,rmnch,99.65,"",RMNCH,rmnch,Iceland
Ireland,rmnch,92.03,"",RMNCH,rmnch,Ireland
Luxembourg,rmnch,100,"",RMNCH,rmnch,Luxembourg
Greece,rmnch,100,"",RMNCH,rmnch,Greece
Spain,rmnch,99.48,"",RMNCH,rmnch,Spain
Slovenia,rmnch,70.93,"",RMNCH,rmnch,Slovenia
Czechia,rmnch,97.89,"",RMNCH,rmnch,Czechia
Slovak Republic,rmnch,99.71,"",RMNCH,rmnch,the Slovak Republic
Hungary,rmnch,57.49,"",RMNCH,rmnch,Hungary
Poland,rmnch,66.28,"",RMNCH,rmnch,Poland
Romania,rmnch,48.72,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,RMNCH,rmnch,Romania
Estonia,rmnch,99.75,"",RMNCH,rmnch,Estonia
Latvia,rmnch,20.18,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,RMNCH,rmnch,Latvia
Lithuania,rmnch,70.83,"",RMNCH,rmnch,Lithuania
Canada,rmnch,96.54,"",RMNCH,rmnch,Canada
United States,rmnch,100,"",RMNCH,rmnch,the United States
Japan,rmnch,95.96,"",RMNCH,rmnch,Japan
Korea,rmnch,98.86,"",RMNCH,rmnch,Korea
Australia,rmnch,100,"",RMNCH,rmnch,Australia
New Zealand,rmnch,100,"",RMNCH,rmnch,New Zealand
EU Institutions,rmnch,100,"",RMNCH,rmnch,the EU Institutions
Austria,drr,99.97,"",DRR,drr,Austria
Belgium,drr,11.94,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,DRR,drr,Belgium
Denmark,drr,96.01,"",DRR,drr,Denmark
France,drr,54.93,"",DRR,drr,France
Germany,drr,43.08,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,DRR,drr,Germany
Italy,drr,78.15,"",DRR,drr,Italy
Netherlands,drr,100,"",DRR,drr,the Netherlands
Norway,drr,100,"",DRR,drr,Norway
Portugal,drr,99.29,"",DRR,drr,Portugal
Sweden,drr,94.93,"",DRR,drr,Sweden
Switzerland,drr,100,"",DRR,drr,Switzerland
United Kingdom,drr,68.57,"",DRR,drr,the United Kingdom
Finland,drr,84.63,"",DRR,drr,Finland
Iceland,drr,100,"",DRR,drr,Iceland
Ireland,drr,92.1,"",DRR,drr,Ireland
